Fecha de comienzo,Fecha de finalizaci—n ,Duraci—n [Mins],Location,Simultaneo?,Productivo?
08/11/21 6:00,08/11/21 9:00,180,Zoom,0,0
08/11/21 7:00,08/11/21 10:00,180,Zoom,1,0
08/11/21 7:00,08/11/21 10:30,210,Zoom,1,1
08/11/21 7:00,08/11/21 10:00,180,Zoom,1,0
08/11/21 8:00,08/11/21 9:00,60,Zoom,0,0
08/11/21 9:00,08/11/21 9:15,15,Zoom,1,0
08/11/21 9:00,08/11/21 9:45,45,Zoom,1,0
08/11/21 11:30,08/11/21 12:00,30,Zoom,0,1
08/11/21 12:00,08/11/21 13:00,60,Zoom,0,1
08/11/21 14:00,08/11/21 15:00,60,Zoom,0,1
08/11/21 15:00,08/11/21 16:00,60,Zoom,0,0
09/11/21 6:00,09/11/21 7:00,60,Zoom,0,0
09/11/21 6:30,09/11/21 7:00,30,Zoom,1,0
09/11/21 6:30,09/11/21 7:00,30,Zoom,1,0
09/11/21 6:30,09/11/21 7:00,30,Zoom,1,0
09/11/21 6:30,09/11/21 7:00,30,Zoom,1,0
09/11/21 7:00,09/11/21 10:00,180,Zoom,0,1
09/11/21 8:00,09/11/21 9:00,60,Zoom,0,0
09/11/21 11:15,09/11/21 11:45,30,Zoom,0,0
09/11/21 12:00,09/11/21 15:30,210,Zoom,0,1
09/11/21 15:00,09/11/21 15:30,30,Zoom,1,0
09/11/21 15:00,09/11/21 18:30,210,Zoom,1,1
10/11/21 7:30,10/11/21 8:00,30,Zoom,0,1
10/11/21 8:00,10/11/21 9:00,60,Zoom,0,0
10/11/21 8:30,10/11/21 9:00,30,Zoom,0,1
10/11/21 9:00,10/11/21 9:15,15,Zoom,0,1
10/11/21 10:45,10/11/21 11:00,15,Zoom,0,1
10/11/21 11:30,10/11/21 12:00,30,Zoom,0,0
10/11/21 12:00,10/11/21 12:30,30,Zoom,1,1
10/11/21 12:00,10/11/21 12:15,15,Zoom,1,0
10/11/21 12:30,10/11/21 13:00,30,Zoom,0,1
10/11/21 14:00,10/11/21 15:00,60,Zoom,0,1
10/11/21 15:00,10/11/21 16:30,90,Zoom,0,1
10/11/21 16:00,10/11/21 16:45,45,Zoom,0,0
10/11/21 17:00,10/11/21 18:00,60,Zoom,0,1
10/11/21 18:30,10/11/21 21:30,180,Zoom,0,0
11/11/21 7:30,11/11/21 8:30,60,Zoom,1,0
11/11/21 7:30,11/11/21 8:00,30,Zoom,1,1
11/11/21 8:00,11/11/21 8:45,45,Zoom,1,0
11/11/21 8:00,11/11/21 8:30,30,Zoom,1,1
11/11/21 8:00,11/11/21 9:00,60,Zoom,1,0
11/11/21 9:00,11/11/21 9:30,30,Zoom,0,1
11/11/21 10:00,11/11/21 10:30,30,Zoom,0,1
11/11/21 11:00,11/11/21 11:45,45,Zoom,0,1
11/11/21 13:30,11/11/21 14:00,30,Zoom,0,1
11/11/21 14:30,11/11/21 15:00,30,Zoom,0,1
11/11/21 15:00,11/11/21 18:30,210,Zoom,1,1
11/11/21 15:00,11/11/21 16:00,60,Zoom,1,0
12/11/21 8:00,12/11/21 9:00,60,Zoom,1,0
12/11/21 8:00,12/11/21 8:30,30,Zoom,1,1
12/11/21 9:00,12/11/21 9:15,15,Zoom,0,0
12/11/21 10:00,12/11/21 10:30,30,Zoom,0,1
12/11/21 10:30,12/11/21 11:00,30,Zoom,0,1
12/11/21 11:15,12/11/21 11:45,30,Zoom,0,1
12/11/21 12:00,12/11/21 12:30,30,Zoom,0,0
12/11/21 13:00,12/11/21 13:30,30,Zoom,0,0
12/11/21 14:30,12/11/21 15:00,30,Zoom,0,1
12/11/21 15:30,12/11/21 16:30,60,Zoom,0,0
12/11/21 16:00,12/11/21 17:00,60,Zoom,0,0
15/11/21 8:00,15/11/21 9:00,60,Zoom,0,1
15/11/21 9:00,15/11/21 9:15,15,Zoom,0,1
15/11/21 9:30,15/11/21 10:00,30,Zoom,0,0
15/11/21 10:00,15/11/21 10:30,30,Zoom,0,0
15/11/21 11:30,15/11/21 12:00,30,Zoom,0,1
16/11/21 8:00,16/11/21 9:00,60,Zoom,0,0
16/11/21 8:30,16/11/21 9:00,30,Zoom,0,1
16/11/21 9:00,16/11/21 10:00,60,Zoom,0,1
16/11/21 10:00,16/11/21 10:30,30,Zoom,0,1
16/11/21 11:15,16/11/21 11:45,30,Zoom,0,0
16/11/21 15:00,16/11/21 15:30,30,Zoom,1,0
16/11/21 15:00,16/11/21 18:30,210,Zoom,1,1
16/11/21 17:00,16/11/21 18:00,60,Zoom,0,0
17/11/21 7:30,17/11/21 8:00,30,Zoom,1,1
17/11/21 7:30,17/11/21 8:00,30,Zoom,1,0
17/11/21 8:00,17/11/21 9:00,60,Zoom,0,1
17/11/21 9:00,17/11/21 9:15,15,Zoom,1,0
17/11/21 9:00,17/11/21 13:00,240,Zoom,1,1
17/11/21 10:00,17/11/21 10:30,30,Zoom,0,0
17/11/21 10:30,17/11/21 11:00,30,Zoom,0,0
17/11/21 11:30,17/11/21 12:30,60,Zoom,0,0
17/11/21 12:00,17/11/21 12:30,30,Zoom,0,0
